optimizer_name,dataset_name,model_name,seed,num_parameters,num_epochs,train_loss_ep1,train_loss_ep2,train_loss_ep3,train_loss_ep4,train_loss_ep5,train_loss_ep6,train_loss_ep7,train_loss_ep8,train_loss_ep9,train_loss_ep10,train_acc_ep1,train_acc_ep2,train_acc_ep3,train_acc_ep4,train_acc_ep5,train_acc_ep6,train_acc_ep7,train_acc_ep8,train_acc_ep9,train_acc_ep10,test_loss,test_accuracy,sparsity_before_pruning,test_acc_after_pruning_50%,test_acc_after_pruning_20%,test_acc_after_pruning_10%,execution_time
Adam,MNIST,CNN,45,421642,10,0.16887,0.05035,0.03431,0.02450,0.02033,0.01599,0.01039,0.01006,0.00773,0.00714,0.94977,0.98455,0.98968,0.99207,0.99312,0.99467,0.99687,0.99682,0.99752,0.99753,0.03977,0.98930,0.00000,0.98940,0.98800,0.97910,115.77923
PrunAdag_v1,MNIST,CNN,45,421642,10,0.00326,0.00211,0.00294,0.00662,0.01558,0.02574,0.03122,0.03389,0.03467,0.03463,0.99923,0.99972,0.99975,0.99903,0.99698,0.99430,0.99278,0.99172,0.99193,0.99180,0.03851,0.98770,0.00524,0.98800,0.98750,0.98710,188.73663
Adam,FashionMNIST,MLP,45,235146,10,0.48167,0.34723,0.31059,0.28327,0.26787,0.24972,0.23914,0.22406,0.21326,0.20249,0.82637,0.87078,0.88480,0.89352,0.89893,0.90672,0.91032,0.91430,0.91972,0.92322,0.34749,0.88110,0.00001,0.87330,0.78870,0.55710,18.22261
PrunAdag_v1,FashionMNIST,MLP,45,235146,10,0.24029,0.31829,0.35713,0.37017,0.36790,0.36499,0.35869,0.35362,0.34975,0.34512,0.91622,0.89482,0.88292,0.87668,0.87748,0.87632,0.87928,0.88030,0.88095,0.88300,0.38408,0.86500,0.02857,0.86490,0.86560,0.86510,59.69331
Adam,FashionMNIST,CNN,45,421642,10,0.43847,0.28349,0.24352,0.21080,0.18606,0.16717,0.14837,0.13165,0.11562,0.09855,0.84350,0.89697,0.91107,0.92202,0.93235,0.93833,0.94425,0.95105,0.95645,0.96400,0.26887,0.91590,0.00000,0.91360,0.86670,0.81350,120.63301
PrunAdag_v1,FashionMNIST,CNN,45,421642,10,0.16541,0.26680,0.29083,0.29023,0.28646,0.28112,0.27725,0.27317,0.27056,0.26744,0.94395,0.91103,0.90170,0.90187,0.90313,0.90415,0.90450,0.90617,0.90547,0.90833,0.30553,0.89210,0.04336,0.89310,0.89250,0.89140,192.01958
Adam,MNIST,MLP,46,235146,10,0.27095,0.10233,0.07056,0.05051,0.03959,0.03293,0.02466,0.02468,0.02012,0.01549,0.92175,0.96930,0.97768,0.98440,0.98763,0.98912,0.99132,0.99210,0.99350,0.99490,0.08426,0.97860,0.00000,0.97720,0.96030,0.91460,18.42796
PrunAdag_v1,MNIST,MLP,46,235146,10,0.00946,0.00486,0.00566,0.00892,0.01783,0.03495,0.05252,0.06327,0.06673,0.06740,0.99735,0.99940,0.99940,0.99920,0.99815,0.99430,0.98995,0.98603,0.98483,0.98438,0.07844,0.97840,0.00647,0.97840,0.97850,0.97730,58.71417
Adam,MNIST,CNN,46,421642,10,0.16375,0.04697,0.03179,0.02306,0.01703,0.01430,0.01052,0.00907,0.00766,0.00763,0.95165,0.98525,0.99000,0.99272,0.99447,0.99540,0.99693,0.99708,0.99733,0.99740,0.03527,0.98970,0.00000,0.98940,0.98830,0.96370,146.56925
PrunAdag_v1,MNIST,CNN,46,421642,10,0.00287,0.00161,0.00190,0.00284,0.00547,0.01174,0.01903,0.02321,0.02564,0.02735,0.99927,0.99978,0.99980,0.99982,0.99935,0.99793,0.99610,0.99532,0.99388,0.99358,0.03493,0.99030,0.00195,0.99040,0.98970,0.98750,429.30136
